2024-10-18T09:04:29.888Z	 stat 	p2c - conn: 172.24.0.4:8080, load: 11744, reqs: 1	caller=p2c/p2c.go:195
2024-10-18T09:04:30.899Z	 stat 	CPU: 0m, MEMORY: Alloc=14.8Mi, TotalAlloc=21.2Mi, Sys=30.8Mi, NumGC=4	caller=stat/usage.go:61
2024-10-18T09:04:31.107Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 1, pass: 1, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:05:29.887Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 1522.0ms, med: 1522.6ms, 90th: 1522.6ms, 99th: 1522.6ms, 99.9th: 1522.6ms	caller=stat/metrics.go:210
2024-10-18T09:05:30.897Z	 stat 	CPU: 0m, MEMORY: Alloc=17.8Mi, TotalAlloc=24.2Mi, Sys=30.8Mi, NumGC=4	caller=stat/usage.go:61
2024-10-18T09:05:31.104Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:06:29.884Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:06:30.894Z	 stat 	CPU: 0m, MEMORY: Alloc=9.1Mi, TotalAlloc=27.1Mi, Sys=30.8Mi, NumGC=5	caller=stat/usage.go:61
2024-10-18T09:06:31.101Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:07:29.881Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:07:30.890Z	 stat 	CPU: 0m, MEMORY: Alloc=12.0Mi, TotalAlloc=30.0Mi, Sys=30.8Mi, NumGC=5	caller=stat/usage.go:61
2024-10-18T09:07:31.098Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:08:29.880Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:08:30.889Z	 stat 	CPU: 0m, MEMORY: Alloc=9.0Mi, TotalAlloc=32.9Mi, Sys=30.8Mi, NumGC=6	caller=stat/usage.go:61
2024-10-18T09:08:31.096Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:09:29.877Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:09:30.886Z	 stat 	CPU: 0m, MEMORY: Alloc=12.0Mi, TotalAlloc=35.9Mi, Sys=30.8Mi, NumGC=6	caller=stat/usage.go:61
2024-10-18T09:09:31.094Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:10:29.875Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:10:30.884Z	 stat 	CPU: 0m, MEMORY: Alloc=9.0Mi, TotalAlloc=38.8Mi, Sys=30.8Mi, NumGC=7	caller=stat/usage.go:61
2024-10-18T09:10:31.092Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:11:29.872Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:11:30.883Z	 stat 	CPU: 0m, MEMORY: Alloc=11.8Mi, TotalAlloc=41.7Mi, Sys=30.8Mi, NumGC=7	caller=stat/usage.go:61
2024-10-18T09:11:31.090Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:12:29.869Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:12:30.879Z	 stat 	CPU: 0m, MEMORY: Alloc=9.0Mi, TotalAlloc=44.6Mi, Sys=30.8Mi, NumGC=8	caller=stat/usage.go:61
2024-10-18T09:12:31.087Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:13:29.867Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:13:30.877Z	 stat 	CPU: 0m, MEMORY: Alloc=11.8Mi, TotalAlloc=47.4Mi, Sys=30.8Mi, NumGC=8	caller=stat/usage.go:61
2024-10-18T09:13:31.084Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
