2024-10-18T07:23:24.441Z	 stat 	p2c - conn: 172.24.0.6:8081, load: 4603, reqs: 1	caller=p2c/p2c.go:195
2024-10-18T07:23:26.579Z	 stat 	CPU: 0m, MEMORY: Alloc=4.2Mi, TotalAlloc=9.0Mi, Sys=18.1Mi, NumGC=4	caller=stat/usage.go:61
2024-10-18T07:23:26.706Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 2, pass: 2, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:24:18.935Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 11.0ms, med: 21.8ms, 90th: 21.8ms, 99th: 21.8ms, 99.9th: 21.8ms	caller=stat/metrics.go:210
2024-10-18T07:24:26.576Z	 stat 	CPU: 0m, MEMORY: Alloc=4.5Mi, TotalAlloc=12.0Mi, Sys=18.6Mi, NumGC=5	caller=stat/usage.go:61
2024-10-18T07:24:26.703Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:25:18.934Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:25:26.575Z	 stat 	CPU: 0m, MEMORY: Alloc=4.1Mi, TotalAlloc=14.9Mi, Sys=18.6Mi, NumGC=6	caller=stat/usage.go:61
2024-10-18T07:25:26.701Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:26:18.931Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:26:26.572Z	 stat 	CPU: 0m, MEMORY: Alloc=3.7Mi, TotalAlloc=17.7Mi, Sys=18.6Mi, NumGC=7	caller=stat/usage.go:61
2024-10-18T07:26:26.699Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:27:18.930Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:27:26.571Z	 stat 	CPU: 0m, MEMORY: Alloc=6.6Mi, TotalAlloc=20.6Mi, Sys=18.8Mi, NumGC=7	caller=stat/usage.go:61
2024-10-18T07:27:26.697Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:28:18.928Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:28:26.569Z	 stat 	CPU: 0m, MEMORY: Alloc=6.4Mi, TotalAlloc=23.7Mi, Sys=18.8Mi, NumGC=8	caller=stat/usage.go:61
2024-10-18T07:28:26.695Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:29:18.926Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:29:26.566Z	 stat 	CPU: 0m, MEMORY: Alloc=5.9Mi, TotalAlloc=26.6Mi, Sys=18.8Mi, NumGC=9	caller=stat/usage.go:61
2024-10-18T07:29:26.693Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
