2024-10-18T07:15:38.549Z	 stat 	p2c - conn: 172.24.0.4:8080, load: 10321, reqs: 1	caller=p2c/p2c.go:195
2024-10-18T07:16:00.926Z	 stat 	CPU: 0m, MEMORY: Alloc=4.2Mi, TotalAlloc=8.7Mi, Sys=17.8Mi, NumGC=4	caller=stat/usage.go:61
2024-10-18T07:16:01.078Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 1, pass: 1, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:16:38.548Z	 stat 	(users-api) - qps: 0.0/s, drops: 0, avg time: 106.0ms, med: 106.9ms, 90th: 106.9ms, 99th: 106.9ms, 99.9th: 106.9ms	caller=stat/metrics.go:210
2024-10-18T07:17:00.923Z	 stat 	CPU: 0m, MEMORY: Alloc=4.4Mi, TotalAlloc=11.7Mi, Sys=17.8Mi, NumGC=5	caller=stat/usage.go:61
2024-10-18T07:17:01.077Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:17:38.546Z	 stat 	(users-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:18:00.922Z	 stat 	CPU: 0m, MEMORY: Alloc=4.3Mi, TotalAlloc=14.6Mi, Sys=18.1Mi, NumGC=6	caller=stat/usage.go:61
2024-10-18T07:18:01.075Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:18:38.544Z	 stat 	(users-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:19:00.919Z	 stat 	CPU: 0m, MEMORY: Alloc=4.1Mi, TotalAlloc=17.4Mi, Sys=18.3Mi, NumGC=7	caller=stat/usage.go:61
2024-10-18T07:19:01.073Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:19:38.542Z	 stat 	(users-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:20:00.917Z	 stat 	CPU: 0m, MEMORY: Alloc=3.9Mi, TotalAlloc=20.3Mi, Sys=18.3Mi, NumGC=8	caller=stat/usage.go:61
2024-10-18T07:20:01.070Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:20:38.539Z	 stat 	(users-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:21:00.915Z	 stat 	CPU: 0m, MEMORY: Alloc=3.9Mi, TotalAlloc=23.3Mi, Sys=18.3Mi, NumGC=9	caller=stat/usage.go:61
2024-10-18T07:21:01.068Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:21:38.539Z	 stat 	(users-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:22:00.914Z	 stat 	CPU: 0m, MEMORY: Alloc=3.5Mi, TotalAlloc=26.2Mi, Sys=18.6Mi, NumGC=10	caller=stat/usage.go:61
2024-10-18T07:22:01.067Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:22:38.535Z	 stat 	(users-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:23:00.911Z	 stat 	CPU: 0m, MEMORY: Alloc=6.4Mi, TotalAlloc=29.1Mi, Sys=18.6Mi, NumGC=10	caller=stat/usage.go:61
2024-10-18T07:23:01.065Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
